hex_id,cate,se,in_zone,adj_cate,t_stat,sig_95
142,-6.204672598315459,2.4918215837761006,1,-6.2737067856854285,-2.4900147902695795,TRUE
143,-2.298884956079431,2.2519868361338227,1,-2.324462720624667,-1.0208252193987608,FALSE
144,-1.9534063668964514,1.7685768673899949,1,-1.975140280975759,-1.104507473163562,FALSE
145,-1.3241170163223361,1.7034170571291067,0,-1.33884935566114,-0.7773299033144399,FALSE
146,-9.167744998272529,3.4040534062100853,1,-9.26974680673905,-2.6931848312213966,TRUE
147,-4.0215382274083344,1.5970829321630744,0,-4.066282509899851,-2.5180522228495676,TRUE
148,-3.9616121310345096,0.6638681534750248,0,-4.005689666119154,-5.96746825449814,TRUE
149,-4.7246373266184385,5.907347674551888,0,-4.7772044030101055,-0.7997899542922762,FALSE
150,-4.839933375079012,5.873488241125548,0,-4.893783253888747,-0.8240304868902787,FALSE
151,-4.234421626920226,5.2563361953321515,0,-4.281534484426298,-0.8055842452924855,FALSE
152,-4.205841625719603,4.633960311342968,0,-4.252636497525921,-0.907612785423427,FALSE
153,-5.243567393919582,4.0195869098885675,0,-5.301908169878846,-1.304504047672139,FALSE
154,-6.072866887894338,4.066627998090865,0,-6.1404345836863135,-1.4933421229444468,FALSE
155,-4.2967669650882705,4.383114358977246,0,-4.34457348687534,-0.9802999906420138,FALSE
156,-5.47827946160329,3.5184651322220843,0,-5.5392316818574345,-1.5570083134925048,FALSE
157,-5.511751951145946,3.4311249231517476,0,-5.573076591713687,-1.6063979233035286,FALSE
158,-5.396172561249155,3.3621893105876635,0,-5.4562112468963395,-1.6049579790930866,FALSE
159,-6.097675783619672,2.6701369064412486,0,-6.165519507184073,-2.2836566053635945,TRUE
160,-6.130541687338973,2.1427897876619704,0,-6.198751082245333,-2.861009382552685,TRUE
161,-5.254688545750596,3.406886372762723,0,-5.313153057437589,-1.5423727036394956,FALSE
162,-5.4477904140904005,1.7925958155184802,0,-5.50840340828783,-3.039051172009298,TRUE
163,-5.026934293832218,1.6127283220475408,0,-5.082864775003966,-3.1170372747283044,TRUE
164,-5.650348000877363,3.1915134938538268,1,-5.713214683432701,-1.770428986673165,FALSE
165,-6.574050205988666,2.821453400269849,1,-6.647194148156223,-2.3300226065615375,TRUE
166,-7.066686225805281,2.4690246382311356,1,-7.145311315730167,-2.8621367791890537,TRUE
167,-2.2146088370396044,2.2698704668973844,1,-2.2392489319011593,-0.9756542804253868,FALSE
168,-2.2687179164068185,2.0778198016692,1,-2.29396003760647,-1.091874239808602,FALSE
169,-10.173189161350226,2.106408068497435,1,-10.286377703628101,-4.829638337175129,TRUE
170,-7.434740764231767,4.157073852643253,1,-7.517460888272555,-1.7884552999953145,FALSE
171,-3.7025953521326294,0.7842899593245203,0,-3.743791024788057,-4.720952127605378,TRUE
172,-4.153341354400426,0.8453512530051117,0,-4.19955209972629,-4.913154549231278,TRUE
173,-4.714511810572899,6.1270736467233595,0,-4.766966228841059,-0.769455711225885,FALSE
174,-4.711616362075384,5.96458825459345,0,-4.764038565116885,-0.7899315360866482,FALSE
175,-4.314390558624495,5.5203981538445825,0,-4.362393163353739,-0.7815361208357434,FALSE
176,-4.297448646966085,4.814098327090444,0,-4.345262753255597,-0.8926798654657698,FALSE
177,-3.9160692676583277,5.056457572314317,0,-3.9596400855046556,-0.7744689264476438,FALSE
178,-5.057236041089636,4.177797778502462,0,-5.113503664385268,-1.2105028316862216,FALSE
179,-5.141110812908018,4.669456823781438,0,-5.198311640433459,-1.1010083200093974,FALSE
180,-4.952172809034696,3.9941856905240583,0,-5.0072714818768675,-1.2398454134927674,FALSE
181,-5.571003093435681,4.1776748343422465,0,-5.632986971762369,-1.3335176418326504,FALSE
182,-5.332821276405446,3.6765116416965986,0,-5.392155105446786,-1.4505111899889187,FALSE
183,-4.963524705888731,3.839340974919352,0,-5.018749681764948,-1.2928064317061585,FALSE
184,-5.859616814928175,2.4584973230840186,0,-5.924811856037644,-2.383413949614426,TRUE
185,-5.475621402536879,2.9970695399516902,0,-5.5365440487974364,-1.8269917763153205,FALSE
186,-5.373069767717466,3.286024925853375,0,-5.4328514079602135,-1.6351275139284247,FALSE
187,-5.395814793805717,1.7389206978398029,0,-5.455849498874663,-3.102967720442191,TRUE
188,-5.1434693109697545,3.260889499072761,0,-5.2006963795247625,-1.5773209464571885,FALSE
189,-5.953656194004363,2.828475209381692,1,-6.019897532402277,-2.10489954950174,TRUE
190,-3.877527630455359,2.6239599757133285,0,-3.9206696278342,-1.4777388627664743,FALSE
